Country,Year,Military_Expenditure_USD,Military_Expenditure_pct_Govt,Military_Expenditure_pct_GDP,GDP_USD,GDP_per_Capita_USD,Political_Stability_Index,Military_Expenditure_missing,Political_Stability_missing,Military_Expenditure_pct_Govt_missing,Country_clean,Continent,Military_Expenditure_YoY,Military_Expenditure_YoY_Clipped,Score_Expenditure,Score_Growth,Score_pctGovt,Score_Politics,Total_Score
Kuwait,2011,6655.646005558016,0.08854321575159121,5.415436774264411e-07,1229013703416.76,,0.311102718114853,0,0,0,Kuwait,Asia,14.268861476318207,14.268861476318207,0.02095847772429078,0.00019517966315557152,0.15583027573483635,0.6571195080062322,0.10531995093625349
Kuwait,2012,7202.565277997349,0.08974047696126039,5.411414991887615e-07,1330994811670.31,,0.203606218099594,0,0,0,Kuwait,Asia,8.217373219408142,8.217373219408142,0.02268072726833182,0.00018196456502572942,0.15793737725408538,0.6032320346927509,0.10103755919693261
Kuwait,2013,6814.623368014739,0.0853244798817193,1.0581395944587905e-06,644019315003.54,,0.166055589914322,0,0,0,Kuwait,Asia,-5.386163054539872,-5.386163054539872,0.021459097658166504,0.00015225748155451693,0.15016551086423435,0.5844080871786359,0.09710322719844341
Kuwait,2014,6801.285656906425,0.07983956318853129,4.6120510606819713e-07,1474677007565.64,,0.149006545543671,0,0,0,Kuwait,Asia,-0.19572191136660866,-0.19572191136660866,0.02141709718747109,0.00016359224519152483,0.14051241578036017,0.5758614840481767,0.09430454810943562
Kuwait,2015,6850.301643280134,0.09067522849038764,5.662671654149458e-07,1209729622635.0,,-0.219549298286438,0,0,0,Kuwait,Asia,0.7206870707442636,0.7206870707442636,0.021571448596238108,0.00016559347763411202,0.1595824788837361,0.3911062297273068,0.07970537623126339
Kuwait,2016,7491.161371709841,0.1091889922654411,6.735241645631534e-07,1112233497452.7,,-0.0565007105469704,0,0,0,Kuwait,Asia,9.355204512174486,9.355204512174486,0.0235895167658961,0.000184449334317307,0.19216549373662006,0.47284169478304505,0.09520840973228216
Kuwait,2017,7726.248253721028,0.1088334305253671,5.82531721529206e-07,1326322321716.46,,-0.0512290969491005,0,0,0,Kuwait,Asia,3.138190066215718,3.138190066215718,0.02432980568193299,0.00017087276397790725,0.19153972830076854,0.47548432907377897,0.09563956266949818
Kuwait,2018,8108.522231576209,0.1021888857439381,6.454287233318398e-07,1256300182879.73,,0.0906421020627022,0,0,0,Kuwait,Asia,4.947730972416986,4.947730972416986,0.025533586966003337,0.00017482439696969355,0.1798457635330168,0.5466036720255486,0.10089540201465047
Kuwait,2019,8299.949598865192,0.1051531641412957,5.935532560182146e-07,1398349602956.35,,0.175173386931419,0,0,0,Kuwait,Asia,2.3608169506340593,2.3608169506340593,0.026136392009899458,0.00016917515479983734,0.18506269987414753,0.5889787945353108,0.10641572877876032
Kuwait,2020,7727.819951250152,0.1002540578687368,6.410871207368288e-07,1205424302139.815,,0.225232258439064,0,0,0,Kuwait,Asia,-6.893170142783333,-6.893170142783333,0.02433475495962224,0.00014896651481905907,0.1764405928631606,0.6140730636704761,0.10647401687797434
Kuwait,2021,9524.800363945837,0.1261880981139088,6.857765926926694e-07,1388907184269.3198,,0.263065904378891,0,0,0,Kuwait,Asia,23.253393894160034,23.253393894160034,0.029993448760285694,0.00021479987433535038,0.22208280958207247,0.6330388866102437,0.11978227004385374
Kuwait,2022,8516.195249001312,0.1138679772747768,6.456059138070716e-07,1319101183380.15,,0.291892021894455,0,0,0,Kuwait,Asia,-10.589252020046436,-10.589252020046436,0.02681734986074773,0.00014089509789972705,0.200400201703513,0.6474892793033149,0.1155981767447031
Kuwait,2023,7755.031935627665,0.09729388292443973,4.4711731564089445e-07,1734451264655.6,,0.408179193735123,0,0,0,Kuwait,Asia,-8.937833047720556,-8.937833047720556,0.02442044553599852,0.00014450142792075114,0.17123087833136288,0.7057834737038274,0.11463605167943096
